uem_maputo,maravia,massangulo_1,nanhupo_1,dindiza,nhapassa_1
787.7339,,,,,
790.3952,,,,,
790.3952,,,,,
795.7177,,,,,
795.7177,,,,,
798.379,,,,,
803.7015,,,,,
805.0321,,,,,
806.3627,,,,,
810.3547,,,,,
814.3466,,,,,
815.6772,,,,,
818.3384,,,,,
819.6691,,,,,
824.9916,,,,,
828.9835,,,,,
832.9754,,,,,
830.3142,,,,,
831.6448,,,,,
835.6367,,,,,
834.306,,,,,
836.9673,,,,,
838.2979,,,,,
839.6285,,,,,
846.2817,,,,,
846.2817,,,,,
847.6124,,,,,
850.2736,,,,,
854.2655,,,,,
856.9268,,,,,
858.2574,,,,,
858.2574,,,,,
862.2493,,,,,
863.5799,,,,,
866.2412,,,,,
864.9105,,,,,
862.2493,,,,,
868.9025,,,,,
872.8944,,,,,
878.2169,,,,,
882.2087,,,,,
884.87,,,,,
887.5313,,,,,
890.1926,,,,,
891.5232,,,,,
892.8538,,,,,
896.8457,,,,,
896.8457,,,,,
896.8457,,,,,
903.4988,,,,,
907.4908,,,,,
908.8214,,,,,
910.152,,,,,
914.1439,,,,,
916.8052,,,,,
919.4664,,,,,
923.4583,,,,,
924.789,,,,,
926.1196,,,,,
930.1115,,,,,
932.7728,,,,,
934.1034,,,,,
935.434,,,,,
936.7647,,,,,
938.0953,,,,,
939.4259,,,,,
944.7485,,,,,
948.7404,,,,,
951.4016,,,,,
954.0629,,,,,
955.3935,,,,,
955.3935,,,,,
958.0548,,,,,
959.3854,,,,,
960.716,,,,,
962.0466,,,,,
963.3773,,,,,
964.708,,,,,
967.3692,,,,,
968.6998,,,,,
967.3692,,,,,
972.6917,,,,,
972.6917,,,,,
974.0223,,,,,
975.353,,,,,
975.353,,,,,
978.0142,,,,,
978.0142,,,,,
980.6755,,,,,
982.0061,,,,,
983.3368,,,,,
983.3368,,,,,
987.3287,,,,,
987.3287,,,,,
985.9981,,,,,
983.3368,,,,,
985.9981,,,,,
988.6593,,,,,
991.3206,,,,,
989.9899,,,,,
991.3206,,,,,
993.9818,,,,,
995.3124,,,,,
995.3124,,,,,
995.3124,,,,,
995.3124,,,,,
997.9737,,,,,
997.9737,,,,,
997.9737,,,,,
997.9737,,,,,
1000.635,,,,,
1003.296,,,,,
1001.966,,,,,
1000.635,,,,,
1001.966,,,,,
1001.966,,,,,
1004.627,,,,,
1005.958,,,,,
1007.288,,,,,
1004.627,,,,,
1007.288,,,,,
1005.958,,,,,
1004.627,,,,,
1004.627,,,,,
1005.958,,,,,
1004.627,,,,,
1005.958,,,,,
1009.949,,,,,
1009.949,,,,,
1005.958,,,,,
1007.288,,,,,
1008.619,,,,,
1011.28,,,,,
1011.28,,,,,
1011.28,,,,,
1013.941,,,,,
1015.272,,,,,
1017.933,,,,,
1020.594,,,,,
1019.264,,,,,
1020.594,,,,,
1019.264,,,,,
1016.603,,,,,
1015.272,,,,,
1013.941,,,,,
1019.264,,,,,
1019.264,,,,,
1019.264,,,,,
1017.933,,,,,
1020.594,,,,,
1021.925,,,,,
1024.586,,,,,
1025.917,,,,,
1021.925,,,,,
1019.264,,,,,
1024.586,,,,,
1024.586,,,,,
1024.586,,,,,
1021.925,,,,,
1024.586,,,,,
1023.256,,,,,
1024.586,,,,,
1023.256,,,,,
1024.586,,,,,
1024.586,,,,,
1023.256,,,,,
1025.917,,,,,
1045.876,,,,,
1023.256,,,,,
1025.917,,,,,
1023.256,,,,,
1023.256,,,,,
1021.925,,,,,
1020.594,,,,,
1020.594,,,,,
1020.594,,,,,
1017.933,,,,,
1017.933,,,,,
1017.933,,,,,
1016.603,,,,,
1016.603,,,,,
1016.603,,,,,
1016.603,,,,,
1017.933,,,,,
1015.272,,,,,
1012.611,,,,,
1012.611,,,,,
1009.949,,,,,
1012.611,,,,,
1012.611,,,,,
1011.28,,,,,
1009.949,,,,,
1009.949,,,,,
1008.619,,,,,
1005.958,,,,,
1004.627,,,,,
1005.958,,,,,
1003.296,,,,,
1003.296,,,,,
999.3043,,,,,
996.6431,,,,,
1001.966,,,,,
999.3043,,,,,
997.9737,,,,,
997.9737,,,,,
997.9737,,,,,
996.6431,,,,,
993.9818,,,,,
996.6431,,,,,
993.9818,,,,,
993.9818,,,,,
995.3124,,,,,
